ell Cl Dl
214 7.273652530907838143e-01 5.326291309038171676e+03
215 8.425748070906050602e-01 6.227601467774012235e+03
216 7.684376068267957383e-01 5.732475766078197012e+03
217 7.119093396276183761e-01 5.359953840919170034e+03
218 7.614817140639228432e-01 5.786023842285623687e+03
219 7.140890312983445565e-01 5.475695502509055586e+03
220 8.142055856152826676e-01 6.300415097956870341e+03
221 7.894774671309680025e-01 6.164603079288502158e+03
222 7.564117800094112276e-01 5.959862673213945527e+03
223 7.390712440517406279e-01 5.875696000989733875e+03
224 6.941304106919284900e-01 5.567904015006201917e+03
225 6.664224746752300810e-01 5.393376317982098044e+03
226 7.250609202231154127e-01 5.920098407217499698e+03
227 7.216746114509607901e-01 5.944594877311065829e+03
228 6.354054962068524937e-01 5.280091250856999977e+03
229 6.187584721525644094e-01 5.186860984513070434e+03
230 6.675222144119348222e-01 5.644502512313444640e+03
231 6.712252798688357336e-01 5.725170186788266619e+03
232 6.829141111866725566e-01 5.875301043902770289e+03
233 7.012405987625141002e-01 6.084977293609686967e+03
234 5.595029956306281083e-01 4.896731231939274039e+03
235 6.492568356892686188e-01 5.730816830466856118e+03
236 6.898836119596942762e-01 6.141243381766575112e+03
237 6.062633453779211479e-01 5.442604123152531429e+03
238 6.288499772539363208e-01 5.693011212845328373e+03
239 6.294901830255439368e-01 5.746696163343503940e+03
240 6.217035173764543510e-01 5.723105349760191530e+03
241 6.049455997733558243e-01 5.615246971892824149e+03
242 5.870700348942423652e-01 5.494544372667516654e+03
243 5.841907913207976533e-01 5.512783517527841468e+03
244 5.720957681024234631e-01 5.443080753655921399e+03
245 6.538581736491929641e-01 6.271983110351148753e+03
246 5.681768472075826582e-01 5.494595480190312628e+03
247 5.806006395309558643e-01 5.660388964570085591e+03
248 6.061420252406207743e-01 5.957246287148056581e+03
249 4.663884527579796879e-01 4.620694721673982713e+03
250 5.466029927154738566e-01 5.458909154518055402e+03
251 5.319169993241925631e-01 5.354738464073154319e+03
252 6.073572483027114277e-01 6.162904136941587240e+03
253 5.109356557354077788e-01 5.225653152605693322e+03
254 4.726413110953663343e-01 4.872206726843858632e+03
255 5.033448830798138429e-01 5.229569455782897421e+03
256 5.450755820165994470e-01 5.707552927184598957e+03
257 4.939468564389888350e-01 5.212585442230931221e+03
258 5.134412079338623869e-01 5.460473743684212423e+03
259 4.351715579576786452e-01 4.663948503855975105e+03
260 5.144423303147986903e-01 5.556108061188595457e+03
261 4.644143412889294442e-01 5.054376074143673577e+03
262 5.342416928485262950e-01 5.858884671976199570e+03
263 5.340700022303374039e-01 5.901711724542794400e+03
264 4.497732380893850190e-01 5.007991042501655102e+03
265 3.897531498959316276e-01 4.372575086202048624e+03
266 4.832729421764809796e-01 5.462676846413915882e+03
267 4.665860836733561334e-01 5.313711464976278876e+03
268 4.554627795362334863e-01 5.225888000598427425e+03
269 4.266206304743189737e-01 4.931488548641680609e+03
270 3.700312459701821655e-01 4.309149729628428759e+03
271 4.456056586285204735e-01 5.227680340939955386e+03
272 4.723743731405156687e-01 5.582619282586053487e+03
273 4.136424159096861453e-01 4.924457656774943644e+03
274 4.469899914568770671e-01 5.360449232300991753e+03
275 3.731921870444427358e-01 4.508109440017126872e+03
276 3.471649141772075176e-01 4.224203285608628903e+03
277 4.434884617031070175e-01 5.435343828374111581e+03
278 3.918777651199639722e-01 4.837486359586354411e+03
279 4.108520777887780251e-01 5.108199543340632772e+03
280 3.745647968215563006e-01 4.690416846411452752e+03
281 3.604831217615038774e-01 4.546325173950282078e+03
282 3.877273455756005127e-01 4.924726397238177924e+03
283 3.895209205119245510e-01 4.982596229910874172e+03
284 3.612379135125745044e-01 4.653467197011969802e+03
285 3.218765963190353130e-01 4.175614769149874519e+03
286 3.409980909414402350e-01 4.454715869779024615e+03
287 3.423958002536267031e-01 4.504254750122534460e+03
288 3.294233135739240148e-01 4.363799553079322322e+03
289 3.629019698980642805e-01 4.840668006783561395e+03
290 3.395194588454918394e-01 4.560114930755156820e+03
291 2.784708487312207992e-01 3.765960066680073851e+03
292 3.197301318356743915e-01 4.353656596452042322e+03
293 3.184386723172512035e-01 4.365770348903800368e+03
294 3.106967198582957779e-01 4.288704724738719051e+03
295 3.107120471886042901e-01 4.318092596999615125e+03
296 3.196937481236336587e-01 4.473036431526272281e+03
297 2.949090474508418991e-01 4.154138208188643148e+03
298 2.752868119205130748e-01 3.903848814981397936e+03
299 2.743299266242325007e-01 3.916388458267434544e+03
300 3.154979390722382204e-01 4.534239005440305846e+03
301 2.659818299003834929e-01 3.848092825461783832e+03
302 2.962400547795522310e-01 4.314331207402492510e+03
303 2.409256860853272453e-01 3.531989860514449447e+03
304 2.744005166919788463e-01 4.049286255907187751e+03
305 2.691156468645503064e-01 3.997425206155964133e+03
306 2.456325647960839187e-01 3.672534434995325682e+03
307 2.233995033858347246e-01 3.361951368522199573e+03
308 2.678788819578705738e-01 4.057586670977643280e+03
309 2.541297548159792696e-01 3.874322978506876098e+03
310 2.473062009471120037e-01 3.794698018227586999e+03
311 2.404140034454928243e-01 3.712742891040807081e+03
312 2.351670449092207460e-01 3.655068538470921794e+03
313 2.213037553419339165e-01 3.461647972989551818e+03
314 2.107116792171432884e-01 3.317026503667298584e+03
315 2.507075489630352649e-01 3.971779949775600926e+03
