Omega_m,H0,Chi_sq,Type
0.2748164947681557,70.31153546866165,1036.304639875105,2.0
0.27613058707213023,70.1635434241817,1036.924737769996,2.0
0.2774910794044514,70.18041366219762,1036.3841364616542,1.0
0.2854057537722326,70.293118645333,1036.7759228472237,2.0
0.28995704333375866,70.02807349609881,1036.0842988616089,1.0
0.29316186470557015,70.13631130729718,1036.6029865520504,2.0
0.2912557561005668,70.06450687414949,1035.9699322883837,1.0
0.2962090166845316,69.95913195099327,1036.6556254003233,2.0
0.2930060850671529,69.88779335887,1037.586303636741,2.0
0.28449614624152597,70.00035815160123,1037.2112746285934,1.0
0.28220422808929857,70.39591526204192,1037.904662738665,2.0
0.277857918314103,70.20452121936232,1036.129173785806,1.0
0.27702212065317644,70.08893317677035,1037.8712028174657,2.0
0.2844285024809521,70.21286844049979,1035.7981696681636,1.0
0.2839374111670101,70.31011052625624,1036.7216105602606,2.0
0.28317842305568974,70.3337195093621,1036.93957985293,2.0
0.27855597672173754,70.38381381337584,1036.9340225962765,1.0
0.2797937871217741,70.31636886775563,1036.2309040163018,1.0
0.2773957574592768,70.03136641898168,1039.0476363136581,2.0
0.2778335586068864,70.16596978541956,1036.4477867974806,1.0
0.28191511458763935,70.18322493071281,1035.7424034297276,1.0
0.2847564240143394,70.28818075673325,1036.5649301550584,2.0
0.28869621104882925,70.4304555731716,1041.58846713659,2.0
0.2820835075192015,70.2250600503117,1035.755413184532,1.0
0.28759640678793635,70.05155345318498,1036.024369926858,2.0
0.29531745293450845,69.9976977237029,1036.434276565666,2.0
0.29669090094798006,70.32156975313458,1042.4536089488047,2.0
0.2918416101581109,70.45240175692943,1044.399448726933,2.0
0.28942032046978694,70.48446734507203,1044.1525847758098,1.0
0.28873183082004444,70.29358713867941,1037.7281784515374,1.0
0.27827105636102734,70.20602696312545,1036.0537923906522,1.0
0.2873084854397542,69.97775275553025,1036.9752363497998,2.0
0.29061631441696145,69.99001012365716,1036.382478064766,1.0
0.29325061539266367,69.95205589445945,1036.6477471740995,2.0
0.29874431396075074,69.79892208672261,1038.599047527812,2.0
0.29746276311968184,69.78802642840093,1038.9748545918285,2.0
0.30497179690042825,69.9223576202051,1038.352096205596,1.0
0.3052038013728092,69.67002412093498,1040.8855803185802,2.0
0.30629683777438016,69.73906077376027,1039.5526516613627,1.0
0.3012525973971104,69.88263819587395,1037.588254277364,1.0
0.30032928761120875,69.95284993098674,1037.2431412841029,1.0
0.3076566975237954,69.92995415119107,1039.3543631497237,2.0
0.3068865701397578,69.85184565934328,1038.779741944964,1.0
0.29915622630612054,70.18943509954055,1039.852813162222,2.0
0.30154874333413156,70.10308805276043,1039.130295988171,1.0
0.2989728667857929,69.9823695138064,1037.0012281093186,1.0
0.2966472550046898,69.6735950828586,1042.5665260007336,2.0
0.2923656261488802,69.82403130749793,1039.1290066250235,1.0
0.2983217579041493,70.02817957328627,1037.0271190140306,1.0
0.28712929322732816,70.05034383553289,1036.0719400234957,1.0
0.2829774714379257,70.12889419762048,1035.8822973781425,1.0
0.28161185089914426,70.14170145827731,1035.9637199704964,2.0
0.2776329266937758,70.24059767590934,1036.0132846297352,2.0
